"site","cat_c","n_test","pc_mean","pc_se"
"Homer Point","CCA",2,14.5,3.5
"Homer Point","Hard corals",2,12.5,7.5
"Homer Point","Macroalgae",2,20,15
"Homer Point","Other competitors",2,22,7
"Homer Point","Turf algae",2,31,4
"Little Bird Island N","CCA",3,24,5.13160143944688
"Little Bird Island N","Hard corals",3,18,2.08166599946613
"Little Bird Island N","Macroalgae",3,16.3333333333333,4.05517502019881
"Little Bird Island N","Other competitors",3,13.3333333333333,0.666666666666667
"Little Bird Island N","Turf algae",3,28.3333333333333,4.91030662088541
"Little Bird Island W","CCA",3,9.03703703703704,1.76422301686142
"Little Bird Island W","Hard corals",3,62.1481481481481,7.95727617781965
"Little Bird Island W","Macroalgae",3,6,4.58257569495584
"Little Bird Island W","Other competitors",3,5.66666666666667,1.20185042515466
"Little Bird Island W","Turf algae",3,17.1481481481481,5.05375765073062
"Pasture Point","CCA",2,21.1111111111111,5.88888888888889
"Pasture Point","Hard corals",2,12.2777777777778,1.27777777777778
"Pasture Point","Macroalgae",2,21.7222222222222,3.72222222222222
"Pasture Point","Other competitors",2,11.5555555555556,3.44444444444444
"Pasture Point","Turf algae",2,33.3333333333333,4.33333333333333
"Pierce Shoals W","CCA",3,35.6666666666667,8.08977406634107
"Pierce Shoals W","Hard corals",3,20,7.81024967590665
"Pierce Shoals W","Macroalgae",3,0,0
"Pierce Shoals W","Other competitors",3,7.66666666666667,2.40370085030933
"Pierce Shoals W","Turf algae",3,36.6666666666667,3.17979733805649
