"","species","category","abundance_mean","se"
"1","Cliona varians","Sponges & soft coral",1.5,0.377964473009227
"2","Condylactis gigantea","Invertebrate",1.66666666666667,0.436435780471985
"3","Echinometra lucunter","Invertebrate",12.5,4.11154008915904
"4","Encrusting sponge","Sponges & soft coral",9.5,4.00891862868637
"5","Hermodice carunculata","Invertebrate",1,NA
"6","Porites astreoides","Stony coral",2.25,0.475594865605671
"7","Porites furcata","Stony coral",3.8,1.14642300844222
"8","Siderastrea siderea","Stony coral",41,6.6332495807108
"9","Sponge","Sponges & soft coral",2.75,0.645497224367903
"10","Tedania ignis","Sponges & soft coral",1.75,0.566946709513841
