"","transect","func_group","number","count"
"1",1,"Carnivores",4,4
"2",1,"Herbivores",NA,0
"3",1,"Omnivores",3,3
"4",2,"Carnivores",5,5
"5",2,"Herbivores",NA,0
"6",2,"Omnivores",1,1
"7",3,"Carnivores",11,11
"8",3,"Herbivores",4,4
"9",3,"Omnivores",3,3
"10",4,"Carnivores",9,9
"11",4,"Herbivores",2,2
"12",4,"Omnivores",3,3
"13",5,"Carnivores",13,13
"14",5,"Herbivores",5,5
"15",5,"Omnivores",NA,0
"16",6,"Carnivores",49,49
"17",6,"Herbivores",36,36
"18",6,"Omnivores",NA,0
"19",7,"Carnivores",1,1
"20",7,"Herbivores",2,2
"21",7,"Omnivores",NA,0
"22",8,"Carnivores",1,1
"23",8,"Herbivores",6,6
"24",8,"Omnivores",NA,0
"25",9,"Carnivores",8,8
"26",9,"Herbivores",2,2
"27",9,"Omnivores",7,7
