"","spp_name","com_name","func_group","density_mean","se"
"1","Abudefduf saxatilis","Sergeant major","Carnivores",0.0833333333333333,NA
"2","Acanthurus bahianus","Ocean surgeonfish","Herbivores",0.0333333333333333,0.408248290463863
"3","Chaetodan striatus","Banded butterflyfish","Carnivores",0.0166666666666667,NA
"4","Chaetodon capistratus","Foureye butterflyfish","Carnivores",0.0166666666666667,NA
"5","Gerres cinereus","Yellowfin mojarra","Carnivores",0.0611111111111111,1.12874889770669
"6","Haemulon flavolineatum","French grunt","Carnivores",0.616666666666667,NA
"7","Halichoeres bivittatus","Slippery dick","Carnivores",0.0333333333333333,0.471404520791032
"8","Holocentrus rufus","Longspine squirrelfish","Carnivores",0.0666666666666667,NA
"9","Lutjanis griseus","Gray snapper","Carnivores",0.1,1.41421356237309
"10","Lutjanus apodus","Schoolmaster snapper","Carnivores",0.05,NA
"11","Pseudupeneus maculatus","Spotted goatfish","Carnivores",0.0166666666666667,NA
"12","Sparisoma aurofrenatum","Redband parrotfish","Herbivores",0.0333333333333333,0.471404520791032
"13","Sparisoma spp. juv.","Parrotfish juvenile","Herbivores",0.266666666666667,6.59966329107444
"14","Stegastes diencaeus","Longfin damselfish","Herbivores",0.0583333333333333,0.235702260395516
"15","Stegastes leucostictus","Beaugregory","Omnivores",0.0566666666666667,0.730296743340221
"16","Stegastes variabilis","Cocoa damselfish","Herbivores",0.0166666666666667,0
"17","Synodus intermedius","Sand diver","Carnivores",0.0166666666666667,NA
