"","genotype","nursery","location","structure"
"1","ACER3","York","A1","Rope"
"2","ACER9","York","B1","Rope"
"3","ACER8","York","C1","Rope"
"4","APRO4","York","D1","Rope"
"5","APRO1","York","E1","Rope"
"6","ACER3","York","A2","Rope"
"7","ACER9","York","B2","Rope"
"8","ACER5","York","C2","Rope"
"9","ACER GB","York","D2","Tree"
"10","APRO GB","York","E2","Tree"
"11","APAL GB","York","F2","Tree"
"12","ACER9","York","A3","Rope"
"13","ACER8","York","D3","Rope"
"14","ACER6","York","F3","Rope"
"15","ACER4","York","F3","Rope"
"16","APRO4","York","B4","Rope"
"17","APRO5","York","C4","Rope"
"18","APRO1","York","C4","Rope"
"19","APRO7","York","D4","Rope"
"20","ACER1","York","F4","Rope"
"21","APAL13","York","B5","Rope"
"22","APAL23","York","C5","Rope"
"23","APRO6","York","D5","Rope"
"24","ACER7","York","F5","Rope"
"25","APAL3","York","A6","Tree"
"26","APRO4","York","C6","Tree"
"27","ACER2","York","E6","Tree"
"28","APAL1","York","F6","Tree"
"29","APAL26","York","A7","Tree"
"30","APAL9","York","B7","Tree"
"31","APAL5","York","B7","Tree"
"32","APAL10","York","C7","Tree"
"33","APAL11","York","D7","Tree"
"34","APAL16","York","D7","Tree"
"35","APAL6","York","E7","Tree"
"36","APAL13","York","F7","Tree"
"37","APAL12","York","A8","Tree"
"38","APAL14","York","B8","Tree"
"39","APAL15","York","C8","Tree"
"40","APAL20","York","C8","Tree"
"41","APRO3","York","D8","Tree"
"42","APRO6","York","D8","Tree"
"43","APAL18","York","D9","Tree"
"44","APAL17","York","D9","Tree"
"45","APAL13 ","Ten Pound","A1","Tree"
"46","APAL24","Ten Pound","A1","Tree"
"47","APAL25","Ten Pound","A2","Tree"
"48","ACER2b","Ten Pound","B3",NA
"49","ACER2b","Ten Pound","A4",NA
"50","APRO6","Ten Pound","B5",NA
"51","ACER9","Ten Pound","A6","Rope"
"52","APRO6","Ten Pound","B7","Rope"
"53","ACER5","Ten Pound","A8","Rope"
"54","APRO5","Ten Pound","B9","Rope"
"55","ACER11","Ten Pound","A10","Rope"
