"genotype","nursery","location","structure"
"ACER03","York","A1","Rope"
"ACER09","York","B1","Rope"
"ACER08","York","C1","Rope"
"ACER + APRO GB","York","D1","Tree"
"APAL GB","York","E1","Tree"
"APAL GB","York","F1","Tree"
"ACER03","York","A2","Rope"
"ACER09","York","B2","Rope"
"ACER05","York","C2","Rope"
"APRO04","York","D2","Rope"
"APRO04","York","E2","Rope"
"APRO01","York","F2","Rope"
"ACER09","York","A3","Rope"
"APAL38","York","B3","Rope"
"APRO03","York","C3","Rope"
"ACER08","York","D3","Rope"
"ACER06","York","F3","Rope"
"ACER04","York","F3","Rope"
"APRO11","York","A4","Rope"
"APRO04","York","B4","Rope"
"APRO05","York","C4","Rope"
"APRO01","York","C4","Rope"
"APRO07","York","D4","Rope"
"ACER01","York","F4","Rope"
"APAL13","York","B5","Rope"
"APAL23","York","C5","Rope"
"APRO6","York","D5","Rope"
"ACER07","York","F5","Rope"
"APAL03","York","A6","Rope"
"ACER10","York","B6","Rope"
"APRO04","York","C6","Rope"
"ACER02","York","E6","Rope"
"APAL01","York","F6","Rope"
"APAL26","York","A7","Tree"
"APAL09","York","B7","Tree"
"APAL05","York","B7","Tree"
"APAL10","York","C7","Tree"
"APAL11","York","D7","Tree"
"APAL06","York","E7","Tree"
"APAL37","York","E7","Tree"
"APAL13","York","F7","Tree"
"APAL12","York","A8","Tree"
"APAL43","York","A8","Tree"
"APAL14","York","B8","Tree"
"APAL15","York","C8","Tree"
"APAL20","York","C8","Tree"
"APAL16","York","D8","Tree"
"APAL 31","York","E8","Tree"
"APAL 34","York","E8","Tree"
"APAL 33","York","E8","Tree"
"APAL35","York","F8","Tree"
"APAL39","York","A9","Tree"
"APAL40","York","B9","Tree"
"APAL41","York","C9","Tree"
"APAL18","York","D9","Tree"
"APAL17","York","D9","Tree"
"APAL42","York","E9","Tree"
"APAL36","York","F9","Tree"
"APAL13","Ten Pound","A1","Tree"
"APAL24","Ten Pound","A1","Tree"
"APAL25","Ten Pound","A2","Tree"
"ACER02","Ten Pound","B3","Rope"
"ACER02","Ten Pound","A4","Rope"
"APRO06","Ten Pound","B5","Rope"
"ACER09","Ten Pound","A6","Rope"
"APRO06","Ten Pound","B7","Rope"
"ACER05","Ten Pound","A8","Rope"
"APRO05","Ten Pound","B9","Rope"
"ACER11","Ten Pound","A10","Rope"
